,,,,Date,Time,Minute,Second,,,,,
1,1,2018-12-11T04:56:40.244748,,12/11/18,4:56:28 AM,56,28,56.28,,,,
1,2,2018-12-11T04:56:42.245401,,12/11/18,4:56:28 AM,56,28,56.28,,56.28,3,3
1,3,2018-12-11T04:56:44.246498,,12/11/18,4:56:28 AM,56,28,56.28,,56.29,4,7
1,4,2018-12-11T04:56:46.246124,,12/11/18,4:56:29 AM,56,29,56.29,,56.30,4,11
1,5,2018-12-11T04:56:48.247035,,12/11/18,4:56:29 AM,56,29,56.29,,56.31,4,15
1,6,2018-12-11T04:56:50.249443,,12/11/18,4:56:29 AM,56,29,56.29,,56.32,4,19
1,7,2018-12-11T04:56:54.256908,,12/11/18,4:56:29 AM,56,29,56.29,,56.33,3,22
1,8,2018-12-11T04:56:56.257548,,12/11/18,4:56:30 AM,56,30,56.30,,56.34,5,27
1,9,2018-12-11T04:57:26.310536,,12/11/18,4:56:30 AM,56,30,56.30,,56.35,3,30
1,10,2018-12-11T04:57:28.315649,,12/11/18,4:56:30 AM,56,30,56.30,,56.36,5,35
1,11,2018-12-11T04:57:30.316541,,12/11/18,4:56:30 AM,56,30,56.30,,56.37,3,38
28,1,2018-12-11T04:57:26.199951,,12/11/18,4:56:31 AM,56,31,56.31,,56.38,5,43
28,2,2018-12-11T04:57:28.200607,,12/11/18,4:56:31 AM,56,31,56.31,,56.39,2,45
28,3,2018-12-11T04:57:30.201583,,12/11/18,4:56:31 AM,56,31,56.31,,56.40,7,52
28,4,2018-12-11T04:57:32.209578,,12/11/18,4:56:31 AM,56,31,56.31,,56.42,7,59
28,5,2018-12-11T04:57:34.205383,,12/11/18,4:56:32 AM,56,32,56.32,,56.43,1,60
28,6,2018-12-11T04:57:36.211678,,12/11/18,4:56:32 AM,56,32,56.32,,56.44,10,70
28,7,2018-12-11T04:57:40.205388,,12/11/18,4:56:32 AM,56,32,56.32,,56.45,1,71
37,1,2018-12-11T04:57:26.215788,,12/11/18,4:56:32 AM,56,32,56.32,,56.46,7,78
37,2,2018-12-11T04:57:28.215672,,12/11/18,4:56:33 AM,56,33,56.33,,56.48,6,84
37,3,2018-12-11T04:57:30.216843,,12/11/18,4:56:33 AM,56,33,56.33,,56.50,4,88
37,4,2018-12-11T04:57:32.218164,,12/11/18,4:56:33 AM,56,33,56.33,,56.51,1,89
37,5,2018-12-11T04:57:34.218861,,12/11/18,4:56:34 AM,56,34,56.34,,56.52,1,90
37,6,2018-12-11T04:57:36.219096,,12/11/18,4:56:34 AM,56,34,56.34,,56.53,2,92
44,1,2018-12-11T04:56:40.370396,,12/11/18,4:56:34 AM,56,34,56.34,,56.54,2,94
44,2,2018-12-11T04:56:42.370944,,12/11/18,4:56:34 AM,56,34,56.34,,56.56,1,95
44,3,2018-12-11T04:56:44.373397,,12/11/18,4:56:34 AM,56,34,56.34,,57.0,7,102
44,4,2018-12-11T04:56:46.379357,,12/11/18,4:56:35 AM,56,35,56.35,,57.2,2,104
44,5,2018-12-11T04:56:48.381259,,12/11/18,4:56:35 AM,56,35,56.35,,57.3,8,112
44,6,2018-12-11T04:56:54.379435,,12/11/18,4:56:35 AM,56,35,56.35,,57.4,4,116
44,7,2018-12-11T04:56:59.809384,,12/11/18,4:56:36 AM,56,36,56.36,,57.5,1,117
52,1,2018-12-11T04:56:40.457442,,12/11/18,4:56:36 AM,56,36,56.36,,57.8,1,118
52,2,2018-12-11T04:56:42.457783,,12/11/18,4:56:36 AM,56,36,56.36,,57.12,1,119
52,3,2018-12-11T04:56:44.460281,,12/11/18,4:56:36 AM,56,36,56.36,,57.14,2,121
52,4,2018-12-11T04:56:46.464303,,12/11/18,4:56:36 AM,56,36,56.36,,57.26,5,126
52,5,2018-12-11T04:56:48.464536,,12/11/18,4:56:37 AM,56,37,56.37,,57.27,1,127
52,6,2018-12-11T04:56:50.469599,,12/11/18,4:56:37 AM,56,37,56.37,,57.28,6,133
59,1,2018-12-11T04:56:29.537301,,12/11/18,4:56:37 AM,56,37,56.37,,57.30,8,141
59,2,2018-12-11T04:56:31.536207,,12/11/18,4:56:38 AM,56,38,56.38,,57.31,1,142
59,3,2018-12-11T04:56:33.538633,,12/11/18,4:56:38 AM,56,38,56.38,,57.32,8,150
59,4,2018-12-11T04:56:35.539816,,12/11/18,4:56:38 AM,56,38,56.38,,57.33,1,151
59,5,2018-12-11T04:56:37.549163,,12/11/18,4:56:38 AM,56,38,56.38,,57.34,5,156
59,6,2018-12-11T04:56:39.54882,,12/11/18,4:56:38 AM,56,38,56.38,,57.36,5,161
59,7,2018-12-11T04:56:43.552476,,12/11/18,4:56:39 AM,56,39,56.39,,57.38,1,162
59,8,2018-12-11T04:56:45.551807,,12/11/18,4:56:39 AM,56,39,56.39,,57.40,4,166
59,9,2018-12-11T04:56:47.554701,,12/11/18,4:56:40 AM,56,40,56.40,,57.44,1,167
59,10,2018-12-11T04:57:33.622226,,12/11/18,4:56:40 AM,56,40,56.40,,57.45,2,169
60,1,2018-12-11T04:56:28.335733,,12/11/18,4:56:40 AM,56,40,56.40,,57.46,3,172
60,2,2018-12-11T04:56:30.335716,,12/11/18,4:56:40 AM,56,40,56.40,,57.47,3,175
60,3,2018-12-11T04:56:32.349376,,12/11/18,4:56:40 AM,56,40,56.40,,57.48,3,178
60,4,2018-12-11T04:56:34.349531,,12/11/18,4:56:40 AM,56,40,56.40,,57.57,1,179
60,5,2018-12-11T04:56:36.366768,,12/11/18,4:56:40 AM,56,40,56.40,,,,
60,6,2018-12-11T04:56:38.359559,,12/11/18,4:56:42 AM,56,42,56.42,,,,
60,7,2018-12-11T04:56:42.354558,,12/11/18,4:56:42 AM,56,42,56.42,,,,
60,8,2018-12-11T04:56:44.355864,,12/11/18,4:56:42 AM,56,42,56.42,,,,
60,9,2018-12-11T04:56:59.7979,,12/11/18,4:56:42 AM,56,42,56.42,,,,
60,10,2018-12-11T04:57:32.416794,,12/11/18,4:56:42 AM,56,42,56.42,,,,
82,1,2018-12-11T04:56:27.771174,,12/11/18,4:56:42 AM,56,42,56.42,,,,
82,2,2018-12-11T04:56:29.778478,,12/11/18,4:56:42 AM,56,42,56.42,,,,
82,3,2018-12-11T04:56:31.78174,,12/11/18,4:56:43 AM,56,43,56.43,,,,
82,4,2018-12-11T04:56:33.787975,,12/11/18,4:56:44 AM,56,44,56.44,,,,
82,5,2018-12-11T04:56:35.792828,,12/11/18,4:56:44 AM,56,44,56.44,,,,
82,6,2018-12-11T04:56:37.805746,,12/11/18,4:56:44 AM,56,44,56.44,,,,
82,7,2018-12-11T04:56:41.790338,,12/11/18,4:56:44 AM,56,44,56.44,,,,
82,8,2018-12-11T04:56:43.791695,,12/11/18,4:56:44 AM,56,44,56.44,,,,
82,9,2018-12-11T04:56:59.79533,,12/11/18,4:56:44 AM,56,44,56.44,,,,
82,10,2018-12-11T04:56:59.800027,,12/11/18,4:56:44 AM,56,44,56.44,,,,
